
natural spline
             x          Natural CS          N_Error(%) 
       2.390000       43.6463000000        0.0000000000
       2.400000       43.8800000000        0.0000000000
       2.410000       44.1143000000        0.0000000000
       2.420000       44.3492000000        0.0000000001
       2.430000       44.5847000000        0.0000000001
       2.440000       44.8208000000        0.0000000001
       2.450000       45.0575000000        0.0000000001
       2.460000       45.2948000000        0.0000000001
       2.470000       45.5327000000        0.0000000000
       2.480000       45.7712000000        0.0000000000
       2.490000       46.0103000000        0.0000000000
       2.500000       46.2500000000        0.0000000000
       2.510000       46.4903000000        0.0000000000
       2.520000       46.7312000000        0.0000000000
       2.530000       46.9727000000        0.0000000000
       2.540000       47.2148000000        0.0000000000
       2.550000       47.4575000000        0.0000000000
       2.560000       47.7008000000        0.0000000000
       2.570000       47.9447000000        0.0000000000
       2.580000       48.1892000000        0.0000000000
       2.590000       48.4343000000        0.0000000000
       2.600000       48.6800000000        0.0000000000
       2.610000       48.9263000000        0.0000000000
       2.620000       49.1732000000        0.0000000000
       2.630000       49.4207000000        0.0000000000
       2.640000       49.6688000000        0.0000000000
       2.650000       49.9175000000        0.0000000000
       2.660000       50.1668000000        0.0000000000
       2.670000       50.4167000000        0.0000000000
       2.680000       50.6672000000        0.0000000000
       2.690000       50.9183000000        0.0000000000
       2.700000       51.1700000000        0.0000000000
       2.710000       51.4223000000        0.0000000000
       2.720000       51.6752000000        0.0000000000
       2.730000       51.9287000000        0.0000000000
       2.740000       52.1828000000        0.0000000000
       2.750000       52.4375000000        0.0000000000
       2.760000       52.6928000000        0.0000000000
       2.770000       52.9487000000        0.0000000000
       2.780000       53.2052000000        0.0000000000
       2.790000       53.4623000000        0.0000000000
       2.800000       53.7200000000        0.0000000000
       2.810000       53.9783000000        0.0000000000
       2.820000       54.2372000000        0.0000000000
       2.830000       54.4967000000        0.0000000000
       2.840000       54.7568000000        0.0000000000
       2.850000       55.0175000000        0.0000000000
       2.860000       55.2788000000        0.0000000000
       2.870000       55.5407000000        0.0000000000
       2.880000       55.8032000000        0.0000000000
       2.890000       56.0663000000        0.0000000000
       2.900000       56.3300000000        0.0000000000
       2.910000       56.5943000000        0.0000000000
       2.920000       56.8592000000        0.0000000000
       2.930000       57.1247000000        0.0000000000
       2.940000       57.3908000000        0.0000000000
       2.950000       57.6575000000        0.0000000000
       2.960000       57.9248000000        0.0000000000
       2.970000       58.1927000000        0.0000000000
       2.980000       58.4612000000        0.0000000000
       2.990000       58.7303000000        0.0000000000
       3.000000       59.0000000000        0.0000000000
       3.010000       59.2703000000        0.0000000000
       3.020000       59.5412000000        0.0000000000
       3.030000       59.8127000000        0.0000000000
       3.040000       60.0848000000        0.0000000000
       3.050000       60.3575000000        0.0000000000
       3.060000       60.6308000000        0.0000000000
       3.070000       60.9047000000        0.0000000000
       3.080000       61.1792000000        0.0000000000
       3.090000       61.4543000000        0.0000000000
       3.100000       61.7300000000        0.0000000000
       3.110000       62.0063000000        0.0000000000
       3.120000       62.2832000000        0.0000000000
       3.130000       62.5607000000        0.0000000000
       3.140000       62.8388000000        0.0000000000
       3.150000       63.1175000000        0.0000000000
       3.160000       63.3968000000        0.0000000000
       3.170000       63.6767000000        0.0000000000
       3.180000       63.9572000000        0.0000000000
       3.190000       64.2383000000        0.0000000000
       3.200000       64.5200000000        0.0000000000
       3.210000       64.8023000000        0.0000000000
       3.220000       65.0852000000        0.0000000000
       3.230000       65.3687000000        0.0000000000
       3.240000       65.6528000000        0.0000000000
       3.250000       65.9375000000        0.0000000000
       3.260000       66.2228000000        0.0000000000
       3.270000       66.5087000000        0.0000000000
       3.280000       66.7952000000        0.0000000000
       3.290000       67.0823000000        0.0000000000
       3.300000       67.3700000000        0.0000000000
