
natural spline
             x          Natural CS          N_Error(%) 
       2.790000       16.2515917795        0.1807504851
       2.800000       16.4177257027        0.1637071854
       2.810000       16.5855500833        0.1467083413
       2.820000       16.7550776805        0.1297799694
       2.830000       16.9263212536        0.1129480700
       2.840000       17.0992935619        0.0962386125
       2.850000       17.2740073646        0.0796775208
       2.860000       17.4504754210        0.0632906594
       2.870000       17.6287104905        0.0471038203
       2.880000       17.8087253322        0.0311427100
       2.890000       17.9905327054        0.0154329372
       2.900000       18.1741453694        0.0000000002
       2.910000       18.3595741301        0.0151200825
       2.920000       18.5468219798        0.0298497076
       2.930000       18.7358899576        0.0441030752
       2.940000       18.9267791024        0.0577969920
       2.950000       19.1194904532        0.0708508205
       2.960000       19.3140250490        0.0831864286
       2.970000       19.5103839287        0.0947281391
       2.980000       19.7085681314        0.1054026814
       2.990000       19.9085786960        0.1151391433
       3.000000       20.1104166616        0.1238689235
       3.010000       20.3140830670        0.1315256851
       3.020000       20.5195789513        0.1380453098
       3.030000       20.7269053534        0.1433658530
       3.040000       20.9360633124        0.1474274994
       3.050000       21.1470538673        0.1501725195
       3.060000       21.3598780569        0.1515452268
       3.070000       21.5745369203        0.1514919356
       3.080000       21.7910314965        0.1499609197
       3.090000       22.0093628245        0.1469023715
       3.100000       22.2295319432        0.1422683623
       3.110000       22.4515398916        0.1360128027
       3.120000       22.6753877087        0.1280914037
       3.130000       22.9010764336        0.1184616392
       3.140000       23.1286071050        0.1070827082
       3.150000       23.3579807622        0.0939154979
       3.160000       23.5891984440        0.0789225481
       3.170000       23.8222611894        0.0620680149
       3.180000       24.0571700374        0.0433176365
       3.190000       24.2939260269        0.0226386985
       3.200000       24.5325301971        0.0000000000
       3.210000       24.7729919032        0.0245946170
       3.220000       25.0153537664        0.0510082851
       3.230000       25.2596667242        0.0790764161
       3.240000       25.5059817142        0.1086407749
       3.250000       25.7543496738        0.1395493178
       3.260000       26.0048215406        0.1716560326
       3.270000       26.2574482520        0.2048207828
       3.280000       26.5122807458        0.2389091554
       3.290000       26.7693699593        0.2737923106
       3.300000       27.0287668301        0.3093468358
       3.310000       27.2905222957        0.3454546021
       3.320000       27.5546872936        0.3820026239
       3.330000       27.8213127614        0.4188829210
       3.340000       28.0904496366        0.4559923846
       3.350000       28.3621488568        0.4932326448
       3.360000       28.6364613594        0.5305099421
       3.370000       28.9134380820        0.5677350009
       3.380000       29.1931299620        0.6048229056
       3.390000       29.4755879371        0.6416929802
       3.400000       29.7608629448        0.6782686690
       3.410000       30.0490059226        0.7144774216
       3.420000       30.3400678079        0.7502505787
       3.430000       30.6340995384        0.7855232617
       3.440000       30.9311520516        0.8202342636
       3.450000       31.2312762850        0.8543259434
       3.460000       31.5345231761        0.8877441213
       3.470000       31.8409436624        0.9204379780
       3.480000       32.1505886815        0.9523599544
       3.490000       32.4635091709        0.9834656549
       3.500000       32.7797560681        1.0137137520
       3.510000       33.0993803107        1.0430658935
       3.520000       33.4224328362        1.0714866112
       3.530000       33.7489645821        1.0989432323
       3.540000       34.0790264859        1.1254057923
       3.550000       34.4126694851        1.1508469499
       3.560000       34.7499445174        1.1752419042
       3.570000       35.0909025202        1.1985683133
       3.580000       35.4355944310        1.2208062147
       3.590000       35.7840711873        1.2419379483
       3.600000       36.1363837268        1.2619480800
       3.610000       36.4925829869        1.2808233281
       3.620000       36.8527199051        1.2985524907
       3.630000       37.2168454190        1.3151263752
       3.640000       37.5850104661        1.3305377289
       3.650000       37.9572659840        1.3447811721
       3.660000       38.3336629101        1.3578531319
       3.670000       38.7142521819        1.3697517778
       3.680000       39.0990847371        1.3804769595
       3.690000       39.4882115131        1.3900301448
       3.700000       39.8816834475        1.3984143603
       3.710000       40.2795514778        1.4056341331
       3.720000       40.6818665415        1.4116954331
       3.730000       41.0886795761        1.4166056184
       3.740000       41.5000415192        1.4203733800
       3.750000       41.9160033083        1.4230086896
       3.760000       42.3366158809        1.4245227478
       3.770000       42.7619301745        1.4249279333
