             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.91       6.910000       0.000005       6.910000       0.000005       6.909999       0.000009
           1.92       6.920000       0.000001       6.920000       0.000001       6.919999       0.000019
           1.93       6.930000       0.000005       6.930000       0.000005       6.930000       0.000005
           1.94       6.940000       0.000001       6.940000       0.000001       6.940000       0.000006
           1.95       6.950000       0.000004       6.950000       0.000004       6.950000       0.000004
           1.96       6.960000       0.000001       6.960000       0.000001       6.960000       0.000006
           1.97       6.970000       0.000004       6.970000       0.000004       6.970001       0.000011
           1.98       6.980000       0.000001       6.980000       0.000001       6.979999       0.000020
           1.99       6.990000       0.000004       6.990000       0.000004       6.989999       0.000010
           2.00       7.000000       0.000000       7.000000       0.000007       7.000000       0.000007
           2.01       7.010000       0.000004       7.010000       0.000004       7.010001       0.000010
           2.02       7.020000       0.000000       7.020000       0.000000       7.020000       0.000000
           2.03       7.030000       0.000003       7.030000       0.000003       7.030000       0.000003
           2.04       7.040000       0.000000       7.040000       0.000000       7.039999       0.000021
           2.05       7.050000       0.000003       7.050000       0.000003       7.050000       0.000004
           2.06       7.060000       0.000006       7.060000       0.000000       7.060001       0.000020
           2.07       7.070000       0.000003       7.070000       0.000003       7.070002       0.000023
           2.08       7.080000       0.000006       7.080000       0.000006       7.080001       0.000013
           2.09       7.090000       0.000002       7.090001       0.000009       7.090000       0.000004
           2.10       7.100000       0.000006       7.100000       0.000006       7.099998       0.000028
           2.11       7.110000       0.000002       7.110000       0.000002       7.110000       0.000002
           2.12       7.120000       0.000005       7.120000       0.000001       7.120001       0.000012
           2.13       7.130000       0.000002       7.130001       0.000009       7.130002       0.000022
           2.14       7.140000       0.000005       7.140000       0.000005       7.140000       0.000002
           2.15       7.150000       0.000002       7.150001       0.000008       7.150000       0.000002
           2.16       7.160000       0.000005       7.160001       0.000012       7.160001       0.000012
           2.17       7.170000       0.000001       7.170001       0.000008       7.169999       0.000012
           2.18       7.180000       0.000005       7.180000       0.000005       7.180001       0.000018
           2.19       7.190000       0.000001       7.190000       0.000001       7.190000       0.000001
           2.20       7.200000       0.000004       7.200000       0.000004       7.200000       0.000002
           2.21       7.210000       0.000001       7.210001       0.000008       7.210000       0.000006
           2.22       7.220000       0.000004       7.220000       0.000004       7.220001       0.000017
           2.23       7.230000       0.000001       7.230000       0.000001       7.230001       0.000020
           2.24       7.240000       0.000004       7.240001       0.000010       7.240001       0.000017
           2.25       7.250000       0.000000       7.250000       0.000000       7.250000       0.000007
           2.26       7.260000       0.000004       7.260001       0.000010       7.260001       0.000017
           2.27       7.270000       0.000000       7.270000       0.000000       7.270001       0.000020
           2.28       7.280000       0.000003       7.280000       0.000003       7.280001       0.000010
           2.29       7.290000       0.000000       7.290000       0.000006       7.289999       0.000007
           2.30       7.300000       0.000003       7.300000       0.000003       7.300001       0.000010
           2.31       7.310000       0.000000       7.310000       0.000000       7.310000       0.000000
           2.32       7.320000       0.000003       7.320000       0.000003       7.320000       0.000003
           2.33       7.330000       0.000001       7.330000       0.000006       7.330000       0.000001
           2.34       7.340000       0.000002       7.340001       0.000009       7.340000       0.000002
           2.35       7.350000       0.000001       7.350000       0.000006       7.350001       0.000012
           2.36       7.360000       0.000002       7.360001       0.000009       7.360001       0.000015
           2.37       7.370000       0.000001       7.370000       0.000005       7.370001       0.000012
           2.38       7.380000       0.000002       7.380000       0.000002       7.379999       0.000011
           2.39       7.390000       0.000001       7.390000       0.000005       7.389999       0.000014
           2.40       7.400000       0.000002       7.400001       0.000008       7.400002       0.000034
           2.41       7.410000       0.000002       7.410000       0.000005       7.410001       0.000011
           2.42       7.420000       0.000001       7.420000       0.000001       7.420001       0.000014
           2.43       7.430000       0.000002       7.430000       0.000005       7.430001       0.000011
           2.44       7.440001       0.000008       7.440001       0.000008       7.440001       0.000008
           2.45       7.450000       0.000004       7.450000       0.000004       7.450001       0.000011
           2.46       7.460001       0.000007       7.460001       0.000007       7.460001       0.000014
           2.47       7.470000       0.000004       7.470000       0.000004       7.470001       0.000017
           2.48       7.480000       0.000007       7.480000       0.000001       7.480000       0.000006
           2.49       7.490000       0.000004       7.490000       0.000004       7.490001       0.000010
           2.50       7.500000       0.000007       7.500000       0.000007       7.500001       0.000020
           2.51       7.510000       0.000003       7.510001       0.000010       7.510000       0.000003
           2.52       7.520000       0.000007       7.520000       0.000000       7.520000       0.000007
           2.53       7.530001       0.000010       7.530001       0.000010       7.529999       0.000016
           2.54       7.540000       0.000006       7.540000       0.000006       7.540000       0.000000
           2.55       7.550001       0.000009       7.550001       0.000009       7.550000       0.000003
           2.56       7.560000       0.000006       7.560000       0.000006       7.560000       0.000006
           2.57       7.570001       0.000009       7.570001       0.000009       7.570000       0.000004
           2.58       7.580000       0.000006       7.580000       0.000001       7.580000       0.000001
           2.59       7.590001       0.000009       7.590001       0.000009       7.590002       0.000021
           2.60       7.600000       0.000005       7.600000       0.000005       7.599999       0.000013
           2.61       7.610001       0.000008       7.610000       0.000002       7.610002       0.000021
           2.62       7.620000       0.000005       7.620000       0.000005       7.620000       0.000001
           2.63       7.630001       0.000008       7.630000       0.000002       7.630000       0.000002
           2.64       7.640000       0.000005       7.640000       0.000005       7.640001       0.000017
           2.65       7.650001       0.000008       7.650000       0.000002       7.650001       0.000008
           2.66       7.660000       0.000005       7.660000       0.000005       7.660002       0.000023
           2.67       7.670001       0.000008       7.670000       0.000001       7.670000       0.000001
           2.68       7.680000       0.000004       7.680000       0.000004       7.680001       0.000011
           2.69       7.690001       0.000007       7.690001       0.000007       7.690000       0.000001
           2.70       7.700000       0.000004       7.700000       0.000004       7.699999       0.000008
           2.71       7.710001       0.000007       7.710001       0.000007       7.710000       0.000005
           2.72       7.720000       0.000004       7.720000       0.000004       7.719999       0.000008
           2.73       7.730000       0.000007       7.730000       0.000007       7.730001       0.000019
           2.74       7.740000       0.000004       7.740001       0.000010       7.740001       0.000016
           2.75       7.750000       0.000007       7.750000       0.000007       7.750000       0.000006
           2.76       7.760000       0.000003       7.760001       0.000010       7.760000       0.000003
           2.77       7.770000       0.000006       7.770000       0.000006       7.770000       0.000006
           2.78       7.780000       0.000003       7.780000       0.000003       7.780001       0.000009
           2.79       7.790000       0.000006       7.790000       0.000006       7.790001       0.000018
           2.80       7.800000       0.000003       7.800000       0.000003       7.800000       0.000003
           2.81       7.810000       0.000006       7.810000       0.000006       7.810001       0.000012
           2.82       7.820000       0.000003       7.820000       0.000003       7.820000       0.000003
           2.83       7.830000       0.000006       7.830000       0.000006       7.830000       0.000000
           2.84       7.840000       0.000002       7.840001       0.000009       7.840000       0.000002
           2.85       7.850000       0.000005       7.850000       0.000005       7.850000       0.000001
           2.86       7.860000       0.000002       7.860001       0.000008       7.860001       0.000014
           2.87       7.870000       0.000005       7.870000       0.000005       7.870000       0.000005
           2.88       7.880000       0.000002       7.880000       0.000002       7.880000       0.000002
           2.89       7.890000       0.000005       7.890000       0.000005       7.890000       0.000005
           2.90       7.900000       0.000002       7.900001       0.000008       7.900001       0.000008
           2.91       7.910000       0.000005       7.910001       0.000011       7.910001       0.000011
           2.92       7.920000       0.000002       7.920000       0.000002       7.920000       0.000002
           2.93       7.930000       0.000004       7.930000       0.000004       7.930001       0.000010
           2.94       7.940000       0.000001       7.940001       0.000007       7.940001       0.000007
           2.95       7.950000       0.000004       7.950000       0.000004       7.950001       0.000010
           2.96       7.960000       0.000001       7.960001       0.000007       7.960001       0.000007
           2.97       7.970000       0.000004       7.970000       0.000004       7.970000       0.000004
           2.98       7.980000       0.000001       7.980000       0.000001       7.980000       0.000001
           2.99       7.990001       0.000010       7.990001       0.000010       7.990000       0.000004
           3.00       8.000000       0.000001       8.000000       0.000001       8.000000       0.000001
           3.01       8.010000       0.000003       8.010000       0.000003       8.010000       0.000003
           3.02       8.020000       0.000006       8.020000       0.000006       8.020000       0.000006
           3.03       8.030001       0.000009       8.030001       0.000009       8.030001       0.000009
           3.04       8.040000       0.000000       8.040001       0.000012       8.040000       0.000000
           3.05       8.050000       0.000003       8.050000       0.000003       8.050001       0.000015
           3.06       8.060000       0.000006       8.060000       0.000006       8.060000       0.000006
           3.07       8.070001       0.000009       8.070001       0.000009       8.070001       0.000009
           3.08       8.080000       0.000000       8.080000       0.000000       8.080001       0.000011
           3.09       8.090000       0.000002       8.090000       0.000002       8.090000       0.000002
           3.10       8.100000       0.000005       8.100000       0.000005       8.100000       0.000005
           3.11       8.110001       0.000008       8.110001       0.000008       8.110001       0.000008
           3.12       8.120000       0.000001       8.120000       0.000001       8.120001       0.000011
           3.13       8.130000       0.000002       8.130000       0.000002       8.130000       0.000002
           3.14       8.140000       0.000005       8.140000       0.000005       8.140000       0.000005
           3.15       8.150001       0.000008       8.150000       0.000004       8.150001       0.000008
