             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           2.31      11.396076      13.118884      10.268870       1.930097      10.021547       0.524863
           2.32      11.510959      13.122323      10.375832       1.967022      10.121887       0.528581
           2.33      11.625841      13.114495      10.483725       2.002186      10.223303       0.531607
           2.34      11.740724      13.095623      10.592549       2.035530      10.325806       0.533948
           2.35      11.855606      13.065927      10.702306       2.066998      10.429411       0.535577
           2.36      11.970489      13.025625      10.812994       2.096535      10.534126       0.536540
           2.37      12.085371      12.974931      10.924614       2.124089      10.639967       0.536812
           2.38      12.200254      12.914065      11.037168       2.149628      10.746945       0.536395
           2.39      12.315136      12.843207      11.150652       2.173076      10.855071       0.535322
           2.40      12.430018      12.762588      11.265068       2.194396      10.964357       0.533589
           2.41      12.544901      12.672402      11.380418       2.213563      11.074817       0.531203
           2.42      12.659783      12.572847      11.496697       2.230498      11.186460       0.528179
           2.43      12.774666      12.464117      11.613909       2.245179      11.299300       0.524535
           2.44      12.889548      12.346406      11.732054       2.257584      11.413348       0.520281
           2.45      13.004431      12.219902      11.851131       2.267668      11.528617       0.515425
           2.46      13.119313      12.084794      11.971139       2.275372      11.645120       0.509972
           2.47      13.234197      11.941271      12.092080       2.280694      11.762866       0.503959
           2.48      13.349079      11.789500      12.213952       2.283579      11.881869       0.497389
           2.49      13.463962      11.629666      12.336756       2.284006      12.002141       0.490284
           2.50      13.578843      11.461937      12.460491       2.281945      12.123694       0.482651
           2.51      13.693726      11.286502      12.585160       2.277386      12.246540       0.474520
           2.52      13.808608      11.103523      12.710760       2.270281      12.370692       0.465892
           2.53      13.923491      10.913167      12.837292       2.260613      12.496158       0.456828
           2.54      14.038374      10.715607      12.964755       2.248361      12.622954       0.447299
           2.55      14.153256      10.510990      13.093153       2.233525      12.751093       0.437337
           2.56      14.268139      10.299483      13.222480       2.216042      12.880582       0.426991
           2.57      14.383021      10.081244      13.352739       2.195924      13.011436       0.416256
           2.58      14.497904       9.856428      13.483931       2.173146      13.143670       0.405144
           2.59      14.612785       9.625180      13.616055       2.147701      13.277291       0.393702
           2.60      14.727668       9.387664      13.749110       2.119567      13.412313       0.381951
           2.61      14.842550       9.144022      13.883099       2.088737      13.548748       0.369895
           2.62      14.957434       8.894405      14.018019       2.055195      13.686609       0.357561
           2.63      15.072316       8.638943      13.600679       1.968389      13.825906       0.344992
           2.64      15.187199       8.377783      13.750655       1.873574      13.966654       0.332180
           2.65      15.302081       8.111065      13.902122       1.779813      14.108861       0.319181
           2.66      15.416964       7.838924      14.055084       1.687180      14.252544       0.305981
           2.67      15.531845       7.561489      14.209538       1.595779      14.397710       0.292650
