             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.91       0.694052      26.401172       0.918110       2.641550       0.961580       1.968149
           1.92       0.692432      26.309262       0.915113       2.610864       0.957689       1.920291
           1.93       0.690812      26.209291       0.912032       2.579099       0.953707       1.872545
           1.94       0.689192      26.101158       0.908868       2.546275       0.949635       1.824970
           1.95       0.687572      25.984767       0.905620       2.512409       0.945472       1.777528
           1.96       0.685952      25.860013       0.902290       2.477490       0.941220       1.730255
           1.97       0.684332      25.726786       0.898875       2.441572       0.936880       1.683220
           1.98       0.682712      25.584972       0.895377       2.404610       0.932451       1.636403
           1.99       0.681092      25.434448       0.891796       2.366685       0.927935       1.589853
           2.00       0.679472      25.275086       0.888131       2.327803       0.923333       1.543567
           2.01       0.677852      25.106751       0.884382       2.287957       0.918645       1.497566
           2.02       0.676232      24.929302       0.880551       2.247195       0.913872       1.451881
           2.03       0.674612      24.742584       0.876635       2.205503       0.909014       1.406526
           2.04       0.672992      24.546460       0.872637       2.162945       0.904073       1.361555
           2.05       0.671372      24.340746       0.868555       2.119523       0.899048       1.316931
           2.06       0.669752      24.125277       0.864389       2.075247       0.893942       1.272748
           2.07       0.668132      23.899874       0.860140       2.030171       0.888754       1.228945
           2.08       0.666512      23.664347       0.855807       1.984306       0.883485       1.185598
           2.09       0.664892      23.418498       0.851391       1.937694       0.878135       1.142652
           2.10       0.663272      23.162120       0.846892       1.890336       0.872707       1.100228
           2.11       0.661652      22.894990       0.842309       1.842297       0.867199       1.058293
           2.12       0.660032      22.616893       0.837642       1.793567       0.861614       1.016851
           2.13       0.658412      22.327585       0.832893       1.744207       0.855951       0.975937
           2.14       0.656792      22.026816       0.828059       1.694258       0.850211       0.935590
           2.15       0.655172      21.714326       0.823142       1.643735       0.844396       0.895794
           2.16       0.653552      21.389840       0.818142       1.592690       0.838505       0.856576
           2.17       0.651932      21.053074       0.813058       1.541163       0.832540       0.817970
           2.18       0.650312      20.703726       0.807891       1.489174       0.826501       0.779978
           2.19       0.648692      20.341483       0.802640       1.436802       0.820388       0.742607
           2.20       0.647072      19.966016       0.797306       1.384051       0.814203       0.705866
           2.21       0.645452      19.576980       0.791889       1.331011       0.807947       0.669827
           2.22       0.643832      19.174014       0.786388       1.277704       0.801619       0.634472
           2.23       0.642212      18.756740       0.780803       1.224189       0.795222       0.599834
           2.24       0.640592      18.324761       0.775135       1.170531       0.788754       0.565879
           2.25       0.638972      17.877661       0.769384       1.116772       0.782218       0.532688
           2.26       0.637352      17.415003       0.763549       1.063005       0.775613       0.500257
           2.27       0.635732      16.936329       0.757631       1.009255       0.768941       0.468597
           2.28       0.634112      16.441159       0.751629       0.955622       0.762203       0.437720
           2.29       0.632492      15.928988       0.745543       0.902161       0.755398       0.407670
