             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.91       6.756211       0.046233       6.753200       0.001642       6.753083       0.000080
           1.92       6.826527       0.081635       6.821174       0.003157       6.820949       0.000143
           1.93       6.896843       0.106435       6.889817       0.004451       6.889497       0.000193
           1.94       6.967159       0.120833       6.959129       0.005439       6.958735       0.000221
           1.95       7.037476       0.125033       7.029111       0.006032       7.028671       0.000230
           1.96       7.107791       0.119230       7.098917       0.005774       7.099311       0.000219
           1.97       7.178108       0.103636       7.170342       0.004656       7.170663       0.000188
           1.98       7.248424       0.078434       7.242507       0.003250       7.242733       0.000142
           1.99       7.318740       0.043829       7.315412       0.001662       7.315528       0.000078
           2.00       7.389056       0.000003       7.389056       0.000003       7.389056       0.000004
           2.01       7.466768       0.046234       7.463439       0.001638       7.463311       0.000080
           2.02       7.544479       0.081638       7.538562       0.003151       7.538314       0.000145
           2.03       7.622190       0.106432       7.614426       0.004459       7.614072       0.000188
           2.04       7.699902       0.120836       7.691028       0.005443       7.690592       0.000218
           2.05       7.777613       0.125030       7.768369       0.006028       7.767883       0.000227
           2.06       7.855325       0.119235       7.845518       0.005761       7.845953       0.000218
           2.07       7.933036       0.103635       7.924455       0.004647       7.924809       0.000182
           2.08       8.010748       0.078446       8.004210       0.003238       8.004458       0.000129
           2.09       8.088459       0.043835       8.084782       0.001649       8.084909       0.000068
           2.10       8.166171       0.000017       8.166171       0.000017       8.166171       0.000017
           2.11       8.252055       0.046241       8.248378       0.001658       8.248236       0.000065
           2.12       8.337939       0.081645       8.331401       0.003164       8.331126       0.000133
           2.13       8.423823       0.106440       8.415242       0.004463       8.414851       0.000183
           2.14       8.509707       0.120832       8.499900       0.005441       8.499418       0.000225
           2.15       8.595592       0.125027       8.585376       0.006029       8.584838       0.000236
           2.16       8.681477       0.119236       8.670637       0.005770       8.671119       0.000216
           2.17       8.767361       0.103638       8.757876       0.004652       8.758267       0.000187
           2.18       8.853245       0.078437       8.846019       0.003247       8.846293       0.000142
           2.19       8.939129       0.043827       8.935064       0.001663       8.935206       0.000072
           2.20       9.025014       0.000007       9.025013       0.000003       9.025013       0.000003
           2.21       9.119930       0.046229       9.115865       0.001630       9.115709       0.000075
           2.22       9.214847       0.081631       9.207622       0.003160       9.207317       0.000144
           2.23       9.309764       0.106433       9.300280       0.004449       9.299848       0.000196
           2.24       9.404681       0.120832       9.393842       0.005437       9.393310       0.000228
           2.25       9.499599       0.125034       9.488307       0.006023       9.487714       0.000229
           2.26       9.594515       0.119230       9.582536       0.005772       9.583068       0.000219
           2.27       9.689432       0.103639       9.678950       0.004651       9.679382       0.000188
           2.28       9.784348       0.078435       9.776362       0.003250       9.776667       0.000138
           2.29       9.879266       0.043832       9.874774       0.001655       9.874929       0.000081
           2.30       9.974182       0.000000       9.974182       0.000000       9.974182       0.000000
           2.31      10.079082       0.046228      10.074590       0.001641      10.074416       0.000081
           2.32      10.183981       0.081635      10.175995       0.003153      10.175659       0.000146
           2.33      10.288879       0.106424      10.278399       0.004449      10.277921       0.000200
           2.34      10.393780       0.120829      10.381801       0.005437      10.381212       0.000231
           2.35      10.498678       0.125018      10.486200       0.006017      10.485544       0.000240
           2.36      10.603578       0.119220      10.590339       0.005783      10.590926       0.000236
           2.37      10.708477       0.103624      10.696893       0.004667      10.697371       0.000200
           2.38      10.813376       0.078426      10.804550       0.003261      10.804887       0.000145
           2.39      10.918276       0.043819      10.913311       0.001673      10.913484       0.000091
           2.40      11.023175       0.000007      11.023175       0.000007      11.023174       0.000016
           2.41      11.139107       0.046219      11.134142       0.001627      11.133951       0.000086
           2.42      11.255038       0.081624      11.246212       0.003139      11.245841       0.000159
           2.43      11.370971       0.106428      11.359386       0.004443      11.358858       0.000208
           2.44      11.486902       0.120821      11.473663       0.005430      11.473013       0.000239
           2.45      11.602834       0.125017      11.589043       0.006009      11.588319       0.000237
           2.46      11.718766       0.119225      11.704135       0.005777      11.704784       0.000229
           2.47      11.834698       0.103627      11.821896       0.004659      11.822423       0.000199
           2.48      11.950630       0.078435      11.940876       0.003249      11.941247       0.000143
           2.49      12.066562       0.043826      12.061075       0.001662      12.061267       0.000073
           2.50      12.182493       0.000003      12.182494       0.000005      12.182493       0.000003
           2.51      12.310617       0.046224      12.305132       0.001644      12.304920       0.000077
           2.52      12.438743       0.081638      12.428988       0.003156      12.428578       0.000144
           2.53      12.566868       0.106441      12.554065       0.004453      12.553482       0.000188
           2.54      12.694992       0.120835      12.680361       0.005444      12.679643       0.000220
           2.55      12.823116       0.125032      12.807876       0.006030      12.807075       0.000225
           2.56      12.951241       0.119232      12.935072       0.005759      12.935789       0.000215
           2.57      13.079366       0.103643      13.065217       0.004645      13.065801       0.000178
           2.58      13.207490       0.078443      13.196711       0.003236      13.197121       0.000129
           2.59      13.335615       0.043842      13.329551       0.001653      13.329762       0.000065
           2.60      13.463739       0.000014      13.463739       0.000014      13.463739       0.000014
           2.61      13.605338       0.046237      13.599275       0.001649      13.599041       0.000069
           2.62      13.746938       0.081646      13.736158       0.003169      13.735704       0.000136
           2.63      13.888537       0.106446      13.874388       0.004457      13.873743       0.000190
           2.64      14.030135       0.120829      14.013967       0.005448      14.013172       0.000221
           2.65      14.171735       0.125029      14.154892       0.006033      14.154005       0.000234
           2.66      14.313334       0.119233      14.295463       0.005777      14.296258       0.000214
           2.67      14.454933       0.103633      14.439297       0.004653      14.439941       0.000189
           2.68      14.596533       0.078437      14.584619       0.003251      14.585072       0.000145
           2.69      14.738132       0.043825      14.731430       0.001665      14.731664       0.000079
           2.70      14.879731       0.000000      14.879731       0.000000      14.879731       0.000000
           2.71      15.036222       0.046227      15.029521       0.001637      15.029263       0.000082
           2.72      15.192714       0.081633      15.180799       0.003148      15.180299       0.000151
           2.73      15.349206       0.106435      15.333569       0.004449      15.332857       0.000191
           2.74      15.505697       0.120829      15.487826       0.005436      15.486949       0.000229
           2.75      15.662189       0.125031      15.643574       0.006025      15.642595       0.000230
           2.76      15.818681       0.119232      15.798931       0.005767      15.799808       0.000220
           2.77      15.975172       0.103635      15.957891       0.004649      15.958604       0.000185
           2.78      16.131664       0.078441      16.118498       0.003241      16.118998       0.000141
           2.79      16.288155       0.043827      16.280748       0.001663      16.281008       0.000070
           2.80      16.444647       0.000004      16.444647       0.000004      16.444647       0.000004
           2.81      16.617598       0.046238      16.610191       0.001648      16.609905       0.000074
           2.82      16.790546       0.081639      16.777380       0.003159      16.776827       0.000138
           2.83      16.963495       0.106430      16.946215       0.004453      16.945427       0.000196
           2.84      17.136446       0.120831      17.116695       0.005437      17.115725       0.000235
           2.85      17.309395       0.125023      17.288822       0.006022      17.287739       0.000245
           2.86      17.482344       0.119219      17.460516       0.005785      17.461485       0.000237
           2.87      17.655293       0.103618      17.636194       0.004668      17.636982       0.000201
           2.88      17.828243       0.078425      17.813690       0.003268      17.814245       0.000153
           2.89      18.001194       0.043823      17.993008       0.001674      17.993294       0.000084
           2.90      18.174143       0.000010      18.174143       0.000010      18.174141       0.000020
           2.91      18.365282       0.046219      18.357096       0.001623      18.356781       0.000091
           2.92      18.556421       0.081627      18.541868       0.003136      18.541258       0.000155
           2.93      18.747561       0.106425      18.728460       0.004435      18.727591       0.000209
           2.94      18.938700       0.120821      18.916872       0.005427      18.915800       0.000240
           2.95      19.129839       0.125019      19.107101       0.006011      19.105907       0.000238
           2.96      19.320978       0.119221      19.296856       0.005778      19.297928       0.000223
           2.97      19.512117       0.103626      19.491011       0.004659      19.491882       0.000187
           2.98      19.703257       0.078428      19.687176       0.003251      19.687788       0.000141
           2.99      19.894396       0.043822      19.885351       0.001662      19.885666       0.000079
           3.00      20.085535       0.000005      20.085537       0.000005      20.085535       0.000005
           3.01      20.296778       0.046229      20.287731       0.001637      20.287384       0.000074
           3.02      20.508018       0.081633      20.491938       0.003157      20.491261       0.000148
           3.03      20.719261       0.106437      20.698153       0.004449      20.697191       0.000195
           3.04      20.930502       0.120829      20.906380       0.005441      20.905195       0.000225
           3.05      21.141743       0.125024      21.116617       0.006032      21.115295       0.000228
           3.06      21.352985       0.119232      21.326324       0.005775      21.327509       0.000222
           3.07      21.564228       0.103642      21.540899       0.004653      21.541862       0.000182
           3.08      21.775469       0.078441      21.757696       0.003241      21.758371       0.000138
           3.09      21.986710       0.043830      21.976713       0.001655      21.977062       0.000067
           3.10      22.197952       0.000009      22.197952       0.000009      22.197952       0.000009
           3.11      22.431410       0.046236      22.421412       0.001642      22.421026       0.000076
           3.12      22.664867       0.081641      22.647093       0.003154      22.646345       0.000148
           3.13      22.898323       0.106429      22.874996       0.004449      22.873934       0.000195
           3.14      23.131783       0.120832      23.105122       0.005436      23.103813       0.000228
           3.15      23.365240       0.125028      23.337469       0.006023      23.336008       0.000237
           3.16      23.598698       0.119229      23.569233       0.005778      23.570541       0.000227
           3.17      23.832153       0.103623      23.806374       0.004661      23.807436       0.000198
           3.18      24.065611       0.078424      24.045969       0.003258      24.046717       0.000148
           3.19      24.299070       0.043824      24.288021       0.001668      24.288406       0.000082
           3.20      24.532528       0.000004      24.532528       0.000004      24.532528       0.000004
           3.21      24.790539       0.046224      24.779490       0.001632      24.779062       0.000092
           3.22      25.048550       0.081631      25.028906       0.003144      25.028082       0.000148
           3.23      25.306561       0.106429      25.280779       0.004443      25.279604       0.000205
           3.24      25.564573       0.120832      25.535109       0.005436      25.533663       0.000226
